title,type,genre,mood_tags,description,emotional_tone,after_watch_suggests,combined
Hunter x Hunter,anime,"action, adventure, shonen","friendship tested, dark power system, nen, morally complex arcs, emotional highs and lows",A boy searches for his absent father who is a legendary hunter while discovering a dark world.,"emotionally complex, deeply invested, want more, bittersweet","dark shonen, complex power system, emotional adventure","friendship tested, dark power system, nen, morally complex arcs, emotional highs and lows emotionally complex, deeply invested, want more, bittersweet dark shonen, complex power system, emotional adventure A boy searches for his absent father who is a legendary hunter while discovering a dark world."
Spy x Family,anime,"comedy, action, slice of life","fake family becomes real family, adorable child, spy mission, wholesome comedy, found family",A spy must build a fake family to complete a mission but they all have secrets of their own.,"warm, fuzzy, happy, wholesome aftertaste","wholesome family comedy, spy action, feel-good anime","fake family becomes real family, adorable child, spy mission, wholesome comedy, found family warm, fuzzy, happy, wholesome aftertaste wholesome family comedy, spy action, feel-good anime A spy must build a fake family to complete a mission but they all have secrets of their own."
Violet Evergarden,anime,"drama, emotional, fantasy","war aftermath, auto memory doll, learning emotions, letters, what is love, beautiful animation",A former child soldier learns to understand human emotions by writing letters for others.,"deeply moved, beautifully sad, reflective, emotionally cleansed","emotional fantasy drama, beautiful animation, letters and love","war aftermath, auto memory doll, learning emotions, letters, what is love, beautiful animation deeply moved, beautifully sad, reflective, emotionally cleansed emotional fantasy drama, beautiful animation, letters and love A former child soldier learns to understand human emotions by writing letters for others."
Made in Abyss,anime,"adventure, dark fantasy, horror","cute art dark content, abyss descent, curse of the abyss, horrifying world, child protagonists",Children descend into a mysterious abyss that gets more dangerous and horrifying the deeper they go.,"disturbed, adventurous, emotionally wrecked, beautiful horror","dark fantasy adventure, cute art dark content, horrifying world","cute art dark content, abyss descent, curse of the abyss, horrifying world, child protagonists disturbed, adventurous, emotionally wrecked, beautiful horror dark fantasy adventure, cute art dark content, horrifying world Children descend into a mysterious abyss that gets more dangerous and horrifying the deeper they go."
The Witch and the Beast,anime,"dark fantasy, action, supernatural","revenge driven witch, grimoire, demon partner, gothic aesthetic, stylish dark fantasy",A witch and her demon companion travel the world seeking revenge against a paladin.,"darkly satisfied, gothic aftertaste, want more","dark gothic fantasy, revenge driven, stylish action","revenge driven witch, grimoire, demon partner, gothic aesthetic, stylish dark fantasy darkly satisfied, gothic aftertaste, want more dark gothic fantasy, revenge driven, stylish action A witch and her demon companion travel the world seeking revenge against a paladin."
Banana Fish,anime,"crime, drama, queer","street gang, corrupt power, queer love, ash lynx, dark America, trauma, BL tragedy",A street gang leader uncovers a dark conspiracy involving a mysterious drug called Banana Fish.,"devastated, emotionally raw, queer heartbreak, heavy aftertaste","queer tragedy, crime drama, dark American setting","street gang, corrupt power, queer love, ash lynx, dark America, trauma, BL tragedy devastated, emotionally raw, queer heartbreak, heavy aftertaste queer tragedy, crime drama, dark American setting A street gang leader uncovers a dark conspiracy involving a mysterious drug called Banana Fish."
Carole and Tuesday,anime,"music, drama, sci-fi","found family through music, Mars setting, idol industry, heartwarming, female friendship",Two girls with different backgrounds bond over music and chase their dreams on Mars.,"warm, uplifted, emotionally touched, music aftertaste","music drama anime, female friendship, heartwarming","found family through music, Mars setting, idol industry, heartwarming, female friendship warm, uplifted, emotionally touched, music aftertaste music drama anime, female friendship, heartwarming Two girls with different backgrounds bond over music and chase their dreams on Mars."
Given,anime,"music, romance, queer","band romance, BL, guitar, processing grief through music, slow burn, queer first love",A boy joins a band and falls for a guitarist who uses music to cope with loss.,"tenderly moved, BL warmth, music aftertaste, quietly happy","BL romance, music anime, slow burn queer love","band romance, BL, guitar, processing grief through music, slow burn, queer first love tenderly moved, BL warmth, music aftertaste, quietly happy BL romance, music anime, slow burn queer love A boy joins a band and falls for a guitarist who uses music to cope with loss."
Blue Period,anime,"drama, slice of life, art","discovering art, entrance exam pressure, expressing yourself, finding identity through painting",A high achieving student discovers painting and realizes art is the only way he can express himself.,"inspired, emotional, want to create something, reflective","art and self discovery, slice of life drama, finding passion","discovering art, entrance exam pressure, expressing yourself, finding identity through painting inspired, emotional, want to create something, reflective art and self discovery, slice of life drama, finding passion A high achieving student discovers painting and realizes art is the only way he can express himself."
Dungeon Meshi,anime,"fantasy, comedy, adventure","cooking monsters, found family, dungeon adventure, wholesome, unique premise, fun",Adventurers cook and eat the monsters they defeat in a dungeon to survive.,"delighted, charmed, warm, uniquely satisfied","wholesome fantasy comedy, unique premise, dungeon adventure","cooking monsters, found family, dungeon adventure, wholesome, unique premise, fun delighted, charmed, warm, uniquely satisfied wholesome fantasy comedy, unique premise, dungeon adventure Adventurers cook and eat the monsters they defeat in a dungeon to survive."
Ping Pong the Animation,anime,"sports, drama, psychological","identity through sport, winning vs losing, what is the point, rivals to friends, unique art style",Five table tennis players confront their identities through competitive ping pong.,"reflective, surprisingly emotional, philosophical sports aftertaste","psychological sports anime, unique art style, identity and sport","identity through sport, winning vs losing, what is the point, rivals to friends, unique art style reflective, surprisingly emotional, philosophical sports aftertaste psychological sports anime, unique art style, identity and sport Five table tennis players confront their identities through competitive ping pong."
Toradora,anime,"romance, comedy, drama","tsundere romance, slow burn, found family, bittersweet confession, high school love",A fierce girl and an intimidating boy team up to help each other with their crushes but fall for each other instead.,"warm bittersweet, emotional confession, soft happy feeling","slow burn romance anime, tsundere, found family","tsundere romance, slow burn, found family, bittersweet confession, high school love warm bittersweet, emotional confession, soft happy feeling slow burn romance anime, tsundere, found family A fierce girl and an intimidating boy team up to help each other with their crushes but fall for each other instead."
Ao Haru Ride,anime,"romance, drama, slice of life","first love reunion, changed people, rain scene, shoujo, slow burn, soft emotional",A girl reunites with her first love in high school only to find he has completely changed.,"soft emotional, nostalgic for first love, bittersweet warmth","shoujo romance, first love reunion, slow burn","first love reunion, changed people, rain scene, shoujo, slow burn, soft emotional soft emotional, nostalgic for first love, bittersweet warmth shoujo romance, first love reunion, slow burn A girl reunites with her first love in high school only to find he has completely changed."
I Want to Eat Your Pancreas,movie,"romance, drama, tragedy","secret illness, unexpected friendship, living fully, bittersweet ending, emotional gut punch",A boy discovers his classmate is secretly dying and they form an unexpected bond.,"absolutely wrecked, beautiful sadness, needed a hug, devastating","tragic romance anime film, secret illness, beautiful and sad","secret illness, unexpected friendship, living fully, bittersweet ending, emotional gut punch absolutely wrecked, beautiful sadness, needed a hug, devastating tragic romance anime film, secret illness, beautiful and sad A boy discovers his classmate is secretly dying and they form an unexpected bond."
Oregairu,anime,"romance, drama, slice of life","social outcasts, what is genuine connection, cynical protagonist, slow burn, realistic high school",A cynical loner joins the service club and confronts what it means to truly connect with others.,"reflective, emotionally complex, want to rewatch, realistic aftertaste","realistic romance drama, cynical protagonist, slow burn connection","social outcasts, what is genuine connection, cynical protagonist, slow burn, realistic high school reflective, emotionally complex, want to rewatch, realistic aftertaste realistic romance drama, cynical protagonist, slow burn connection A cynical loner joins the service club and confronts what it means to truly connect with others."
Kakushigoto,anime,"comedy, drama, slice of life","mangaka dad, hiding job from daughter, wholesome parenting, bittersweet twist, warm humor",A mangaka hides his embarrassing job from his daughter while being the most dedicated father.,"warm tears, bittersweet, funny and sad, parent love aftertaste","wholesome comedy drama, father daughter bond, bittersweet","mangaka dad, hiding job from daughter, wholesome parenting, bittersweet twist, warm humor warm tears, bitterswift, funny and sad, parent love aftertaste wholesome comedy drama, father daughter bond, bittersweet A mangaka hides his embarrassing job from his daughter while being the most dedicated father."
Fruits Basket,anime,"romance, drama, supernatural","zodiacs, found family, trauma healing, abuse recovery, slow burn love, deeply emotional",A girl discovers her classmates transform into zodiac animals and uncovers their painful pasts.,"deeply healed and hurt, emotional journey, want to protect everyone","trauma healing romance, found family, zodiac supernatural","zodiacs, found family, trauma healing, abuse recovery, slow burn love, deeply emotional deeply healed and hurt, emotional journey, want to protect everyone trauma healing romance, found family, zodiac supernatural A girl discovers her classmates transform into zodiac animals and uncovers their painful pasts."
Clannad After Story,anime,"drama, romance, supernatural","married life, loss, grief, what matters in life, most emotionally devastating anime, family",The continuation of Clannad following Tomoya through love loss grief and what it means to live.,"absolutely destroyed, cried the most, life changing, heavy","emotional devastation anime, family drama, grief and love","married life, loss, grief, what matters in life, most emotionally devastating anime, family absolutely destroyed, cried the most, life changing, heavy emotional devastation anime, family drama, grief and love The continuation of Clannad following Tomoya through love loss grief and what it means to live."
Anohana,anime,"drama, supernatural, friendship","childhood friends, ghost, unresolved grief, summer nostalgia, group guilt, emotional ending",A boy can see the ghost of his childhood friend who died and must help her fulfill her wish.,"cried a lot, nostalgic grief, emotionally cleansed, beautiful sadness","childhood grief anime, ghost friendship, emotional ending","childhood friends, ghost, unresolved grief, summer nostalgia, group guilt, emotional ending cried a lot, nostalgic grief, emotionally cleansed, beautiful sadness childhood grief anime, ghost friendship, emotional ending A boy can see the ghost of his childhood friend who died and must help her fulfill her wish."
Mushishi,anime,"supernatural, slice of life, mystery","slow and peaceful, mushi, episodic wonder, nature spirits, calming, philosophical",A traveler called Ginko wanders feudal Japan helping people afflicted by mysterious life forms called mushi.,"peaceful, contemplative, slow happiness, nature aftertaste","episodic supernatural, calming and peaceful, nature philosophy","slow and peaceful, mushi, episodic wonder, nature spirits, calming, philosophical peaceful, contemplative, slow happiness, nature aftertaste episodic supernatural, calming and peaceful, nature philosophy A traveler called Ginko wanders feudal Japan helping people afflicted by mysterious life forms called mushi."
Erased,anime,"mystery, thriller, supernatural","time travel to childhood, save classmate, serial killer, emotional investment, gripping mystery",A man with the ability to travel back in time uses it to prevent the murder of his childhood friend.,"gripped, emotionally invested, satisfied by ending, tense aftertaste","time travel mystery, serial killer thriller, emotional investment","time travel to childhood, save classmate, serial killer, emotional investment, gripping mystery gripped, emotionally invested, satisfied by ending, tense aftertaste time travel mystery, serial killer thriller, emotional investment A man with the ability to travel back in time uses it to prevent the murder of his childhood friend."
The Apothecary Diaries Season 2,anime,"historical, mystery, light","imperial court politics, Maomao wit, deeper mysteries, stronger female lead, satisfying continuation",Maomao continues solving medical mysteries in the imperial court while uncovering deeper political conspiracies.,"satisfied, intellectually stimulated, warm, want more","chinese historical mystery, strong female lead, season continuation","imperial court politics, Maomao wit, deeper mysteries, stronger female lead, satisfying continuation satisfied, intellectually stimulated, warm, want more chinese historical mystery, strong female lead, season continuation Maomao continues solving medical mysteries in the imperial court while uncovering deeper political conspiracies."
Cyberpunk Edgerunners,anime,"action, sci-fi, tragedy","cyberpunk city, going too far, love story in a broken world, emotional gut punch, short but devastating",A street kid becomes a mercenary in a dystopian city and falls in love before losing everything.,"devastated, emotionally wrecked, visually stunned, hollow aftertaste","cyberpunk tragedy, short emotional anime, love in a dark world","cyberpunk city, going too far, love story in a broken world, emotional gut punch, short but devastating devastated, emotionally wrecked, visually stunned, hollow aftertaste cyberpunk tragedy, short emotional anime, love in a dark world A street kid becomes a mercenary in a dystopian city and falls in love before losing everything."
Oshi no Ko,anime,"drama, mystery, dark","idol industry dark side, revenge, reincarnation, what is real love, mother's murder, shocking start",A doctor is reincarnated as the child of his favorite idol and grows up to uncover her murder.,"shocked, darkly invested, industry disillusionment, gripped","idol industry dark side, revenge mystery, shocking premise","idol industry dark side, revenge, reincarnation, what is real love, mother's murder, shocking start shocked, darkly invested, industry disillusionment, gripped idol industry dark side, revenge mystery, shocking premise A doctor is reincarnated as the child of his favorite idol and grows up to uncover her murder."
Link Click,anime,"mystery, thriller, romance","time travel photos, solving crimes, bromance, emotional twists, chinese anime, slow burn mystery",Two friends use a supernatural ability to enter photographs and solve cases but face dangerous consequences.,"emotionally hooked, tense, bromance aftertaste, want season 3","Chinese anime, bromance thriller, time travel mystery","time travel photos, solving crimes, bromance, emotional twists, chinese anime, slow burn mystery emotionally hooked, tense, bromance aftertaste, want season 3 Chinese anime, bromance thriller, time travel mystery Two friends use a supernatural ability to enter photographs and solve cases but face dangerous consequences."
The Devil is a Part-Timer,anime,"comedy, fantasy, slice of life","demon lord works at mcdonalds, fish out of water comedy, reverse isekai, wholesome humor",The Devil Lord is transported to modern Tokyo and must work part-time to survive.,"happy, giggling, lighthearted, fun aftertaste","reverse isekai comedy, fish out of water, wholesome humor","demon lord works at mcdonalds, fish out of water comedy, reverse isekai, wholesome humor happy, giggling, lighthearted, fun aftertaste reverse isekai comedy, fish out of water, wholesome humor The Devil Lord is transported to modern Tokyo and must work part-time to survive."
Chainsaw Man,anime,"action, dark, supernatural","chainsaws, contracts with devils, found family then loss, unhinged protagonist, shocking deaths",A boy merges with a chainsaw devil and joins a government agency hunting other devils.,"chaotically entertained, shocked by deaths, unhinged energy, dark fun","dark action anime, shocking deaths, devil hunting","chainsaws, contracts with devils, found family then loss, unhinged protagonist, shocking deaths chaotically entertained, shocked by deaths, unhinged energy, dark fun dark action anime, shocking deaths, devil hunting A boy merges with a chainsaw devil and joins a government agency hunting other devils."
Re Zero,anime,"fantasy, psychological, thriller","return by death, emotional torture, slow burn growth, what is worth living for, dark isekai",A boy is transported to a fantasy world and discovers he revives every time he dies.,"emotionally wrecked, tense, invested in characters, dark isekai aftertaste","dark isekai, return by death, psychological thriller","return by death, emotional torture, slow burn growth, what is worth living for, dark isekai emotionally wrecked, tense, invested in characters, dark isekai aftertaste dark isekai, return by death, psychological thriller A boy is transported to a fantasy world and discovers he revives every time he dies."
Berserk,anime,"dark fantasy, action, horror","dark medieval world, trauma, betrayal, eclipse, cursed warrior, most brutal manga, Griffith",A wandering swordsman joins a mercenary band and faces the most devastating betrayal in anime history.,"traumatized, emotionally raw, dark fascination, one of the heaviest","dark fantasy, brutal betrayal, medieval horror, cursed warrior","dark medieval world, trauma, betrayal, eclipse, cursed warrior, most brutal manga, Griffith traumatized, emotionally raw, dark fascination, one of the heaviest dark fantasy, brutal betrayal, medieval horror, cursed warrior A wandering swordsman joins a mercenary band and faces the most devastating betrayal in anime history."
The Way of the Househusband,anime,"comedy, slice of life","yakuza does housework, absurd comedy, wholesome, funny premise, no plot just vibes",A legendary yakuza retires to become a devoted househusband with hilarious results.,"happily giggling, lighthearted, no stress, fun aftertaste","absurd comedy anime, no plot just vibes, wholesome yakuza","yakuza does housework, absurd comedy, wholesome, funny premise, no plot just vibes happily giggling, lighthearted, no stress, fun aftertaste absurd comedy anime, no plot just vibes, wholesome yakuza A legendary yakuza retires to become a devoted househusband with hilarious results."
Midnight Mass,web series,"horror, drama, religious","religious horror, small island town, vampirism as religion, slow burn dread, morally complex",A mysterious priest arrives on an isolated island and brings miracles that hide a dark truth.,"unsettled, philosophically shaken, slow burn dread, heavy","religious horror, slow burn dread, moral complexity","religious horror, small island town, vampirism as religion, slow burn dread, morally complex unsettled, philosophically shaken, slow burn dread, heavy religious horror, slow burn dread, moral complexity A mysterious priest arrives on an isolated island and brings miracles that hide a dark truth."
The Haunting of Hill House,web series,"horror, drama, family","family trauma as horror, past haunting present, grief as ghost, slow burn, emotionally devastating",A family is haunted by their experiences in a terrifying house both as children and adults.,"emotionally wrecked, scared but moved, grief aftertaste, haunted","family trauma horror, slow burn, grief and ghosts","family trauma as horror, past haunting present, grief as ghost, slow burn, emotionally devastating emotionally wrecked, scared but moved, grief aftertaste, haunted family trauma horror, slow burn, grief and ghosts A family is haunted by their experiences in a terrifying house both as children and adults."
Black Mirror,web series,"sci-fi, anthology, thriller","technology gone wrong, near future dystopia, each episode different, thought provoking, unsettling",An anthology series exploring the dark side of technology and human nature in the near future.,"unsettled, thoughtful, technology anxiety, each episode different aftertaste","sci-fi anthology, technology horror, thought provoking","technology gone wrong, near future dystopia, each episode different, thought provoking, unsettling unsettled, thoughtful, technology anxiety, each episode different aftertaste sci-fi anthology, technology horror, thought provoking An anthology series exploring the dark side of technology and human nature in the near future."
Fleabag,web series,"comedy, drama","breaking fourth wall, grief hidden in humor, sharp writing, feminist, messy female protagonist",A witty and troubled woman navigates grief love and family while speaking directly to the audience.,"deeply moved by comedy, felt seen, bittersweet warmth, sharp aftertaste","sharp feminist comedy drama, fourth wall breaking, grief in humor","breaking fourth wall, grief hidden in humor, sharp writing, feminist, messy female protagonist deeply moved by comedy, felt seen, bittersweet warmth, sharp aftertaste sharp feminist comedy drama, fourth wall breaking, grief in humor A witty and troubled woman navigates grief love and family while speaking directly to the audience."
Normal People,web series,"romance, drama","first love intensity, class difference, on and off romance, raw intimacy, realistic relationship",Two teenagers from different social backgrounds have an intense and complicated love affair over years.,"emotionally raw, first love nostalgia, longing, realistic heartbreak","realistic romance drama, on and off relationship, intense intimacy","first love intensity, class difference, on and off romance, raw intimacy, realistic relationship emotionally raw, first love nostalgia, longing, realistic heartbreak realistic romance drama, on and off relationship, intense intimacy Two teenagers from different social backgrounds have an intense and complicated love affair over years."
